epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,15186.1,0.81005,0.4355,0.82194,0.94926,0.81337,0.87598,0.68569,0.74172,0.45761,0.81797,0.0014456,0.0014456,0.0014456
44,15607.6,0.77689,0.43653,0.81012,0.98368,0.7913,0.88166,0.68209,0.75796,0.46727,0.81579,0.0014324,0.0014324,0.0014324
45,15966.4,0.81852,0.46505,0.81535,0.96711,0.8087,0.8798,0.70886,0.73824,0.48249,0.81934,0.0014192,0.0014192,0.0014192
46,16510.6,0.74244,0.42923,0.81266,0.94228,0.86087,0.90359,0.69847,0.79219,0.44879,0.82073,0.001406,0.001406,0.001406
47,16935,0.76152,0.43225,0.81564,0.89665,0.86957,0.89219,0.72346,0.74098,0.45331,0.81304,0.0013928,0.0013928,0.0013928
48,17821.5,0.74303,0.40481,0.81337,0.95999,0.83457,0.89953,0.71859,0.78052,0.47092,0.822,0.0013796,0.0013796,0.0013796
49,18166.8,0.7642,0.4346,0.81134,0.95356,0.85217,0.89699,0.71331,0.79479,0.42405,0.82095,0.0013664,0.0013664,0.0013664
50,18547.5,0.74151,0.41814,0.80421,0.93264,0.85217,0.88147,0.71834,0.75643,0.42248,0.81573,0.0013532,0.0013532,0.0013532
51,18935.7,0.72234,0.41075,0.80608,0.94896,0.86957,0.91586,0.72111,0.76456,0.42681,0.81545,0.00134,0.00134,0.00134
52,19284.4,0.7384,0.41405,0.81087,0.96798,0.87826,0.90977,0.70642,0.78251,0.45992,0.82118,0.0013268,0.0013268,0.0013268
53,19703.8,0.73549,0.4123,0.80874,0.98515,0.78261,0.89522,0.68108,0.79198,0.45232,0.81866,0.0013136,0.0013136,0.0013136
54,20057.9,0.68408,0.38909,0.80702,0.98553,0.8,0.89373,0.70767,0.73771,0.44835,0.81347,0.0013004,0.0013004,0.0013004
55,20438,0.73527,0.4381,0.80146,0.94097,0.82609,0.89861,0.70304,0.75109,0.45676,0.81367,0.0012872,0.0012872,0.0012872
56,20815.1,0.72916,0.40591,0.80617,0.95879,0.86087,0.90311,0.7027,0.76934,0.4695,0.81705,0.001274,0.001274,0.001274
57,21124.8,0.72472,0.39605,0.79854,0.95054,0.86087,0.9052,0.7184,0.7694,0.43361,0.81335,0.0012608,0.0012608,0.0012608
58,21460.2,0.74189,0.41938,0.80643,0.98919,0.82609,0.92539,0.73515,0.73762,0.43201,0.81364,0.0012476,0.0012476,0.0012476
59,21796.9,0.69434,0.38671,0.80677,0.95054,0.83557,0.92217,0.70424,0.78781,0.45769,0.8277,0.0012344,0.0012344,0.0012344
60,22369,0.69551,0.40186,0.80967,0.92699,0.88329,0.90381,0.69925,0.78729,0.45231,0.82387,0.0012212,0.0012212,0.0012212
61,22879.7,0.73817,0.4179,0.80105,0.89875,0.84909,0.9058,0.69839,0.78944,0.45397,0.82876,0.001208,0.001208,0.001208
62,23370.5,0.7308,0.40636,0.80953,0.98858,0.7913,0.8837,0.7012,0.78665,0.46324,0.82381,0.0011948,0.0011948,0.0011948
63,23905.6,0.72625,0.39655,0.79587,0.95014,0.82863,0.88757,0.70118,0.79525,0.48372,0.82276,0.0011816,0.0011816,0.0011816
64,24260.7,0.7144,0.3979,0.80647,0.9789,0.80687,0.89399,0.71166,0.75505,0.45901,0.8178,0.0011684,0.0011684,0.0011684
65,24668.7,0.69034,0.37813,0.79875,0.89935,0.87826,0.90142,0.71609,0.74336,0.44052,0.81044,0.0011552,0.0011552,0.0011552
66,25148,0.69777,0.39,0.80861,0.9098,0.86957,0.90254,0.71856,0.71898,0.42338,0.80971,0.001142,0.001142,0.001142
67,25579.7,0.68767,0.36913,0.79349,0.95139,0.85103,0.90683,0.71801,0.77072,0.44697,0.81839,0.0011288,0.0011288,0.0011288
68,26000.5,0.704,0.37712,0.81375,0.94075,0.88696,0.91647,0.72507,0.70642,0.43629,0.81261,0.0011156,0.0011156,0.0011156
69,26346.2,0.73667,0.40023,0.80728,0.97215,0.81739,0.88932,0.71254,0.73377,0.45769,0.81492,0.0011024,0.0011024,0.0011024
70,26932.8,0.697,0.35862,0.80281,0.94769,0.87826,0.9228,0.73651,0.69002,0.40408,0.81106,0.0010892,0.0010892,0.0010892
71,27357.9,0.6671,0.37793,0.79979,0.94264,0.89565,0.9217,0.73006,0.70694,0.38891,0.81249,0.001076,0.001076,0.001076
72,27890.6,0.66766,0.36241,0.80935,0.91664,0.86957,0.91762,0.74422,0.71138,0.39921,0.81336,0.0010628,0.0010628,0.0010628
73,28309.9,0.66809,0.36132,0.8078,0.89385,0.87871,0.92025,0.75627,0.67981,0.42293,0.80614,0.0010496,0.0010496,0.0010496
74,28684.4,0.68991,0.36596,0.79881,0.93552,0.88315,0.91787,0.72584,0.68655,0.41352,0.80476,0.0010364,0.0010364,0.0010364
75,29307.2,0.6881,0.35517,0.79959,0.98543,0.84348,0.90446,0.74275,0.72575,0.41538,0.81037,0.0010232,0.0010232,0.0010232
76,29681.6,0.67191,0.37444,0.79355,0.93571,0.88595,0.91287,0.72086,0.73717,0.41701,0.81451,0.00101,0.00101,0.00101
77,30015.8,0.69503,0.38206,0.79427,0.93449,0.87826,0.91236,0.71175,0.75558,0.42455,0.81758,0.0009968,0.0009968,0.0009968
78,30383.8,0.69998,0.37521,0.80308,0.93249,0.86957,0.91268,0.70705,0.73154,0.42004,0.82151,0.0009836,0.0009836,0.0009836
79,30752,0.65237,0.35801,0.80821,0.95941,0.82214,0.89255,0.70086,0.73744,0.41573,0.81525,0.0009704,0.0009704,0.0009704
80,31107.9,0.66586,0.36789,0.80559,0.93507,0.87663,0.91625,0.72691,0.72339,0.42083,0.81125,0.0009572,0.0009572,0.0009572
81,31442.2,0.66493,0.34171,0.80062,0.93177,0.87826,0.91156,0.7199,0.77132,0.43447,0.81606,0.000944,0.000944,0.000944
82,31755.1,0.6601,0.34281,0.8058,0.9241,0.87826,0.91175,0.72679,0.74196,0.41659,0.8173,0.0009308,0.0009308,0.0009308
83,32071.7,0.6695,0.35606,0.8014,0.93218,0.88696,0.92221,0.73647,0.72504,0.397,0.81616,0.0009176,0.0009176,0.0009176
84,32397.3,0.66233,0.35733,0.79787,0.92423,0.87826,0.91787,0.73971,0.70056,0.42548,0.81361,0.0009044,0.0009044,0.0009044
85,32702.5,0.62914,0.34094,0.79227,0.95134,0.8501,0.91633,0.72972,0.71039,0.43867,0.81515,0.0008912,0.0008912,0.0008912
86,33047,0.64951,0.36218,0.78934,0.96699,0.82609,0.90272,0.73908,0.70931,0.43874,0.81505,0.000878,0.000878,0.000878
87,33385.1,0.64856,0.35901,0.80032,0.95679,0.86087,0.91306,0.72454,0.69979,0.40169,0.80682,0.0008648,0.0008648,0.0008648
88,33722.7,0.64735,0.35467,0.78924,0.97937,0.82546,0.91394,0.73869,0.71723,0.38967,0.8135,0.0008516,0.0008516,0.0008516
89,34063.9,0.65798,0.34728,0.79987,0.92021,0.90261,0.92698,0.75295,0.69614,0.35441,0.80969,0.0008384,0.0008384,0.0008384
90,34399.6,0.64882,0.35479,0.79079,0.97305,0.83478,0.92354,0.73634,0.7168,0.39433,0.81368,0.0008252,0.0008252,0.0008252
91,34729.1,0.65473,0.34413,0.79525,0.92473,0.87826,0.92178,0.73109,0.79794,0.4288,0.82178,0.000812,0.000812,0.000812
92,35058.8,0.68372,0.35876,0.79478,0.92525,0.87826,0.92892,0.734,0.73494,0.40588,0.81722,0.0007988,0.0007988,0.0007988
93,35391.9,0.62798,0.33209,0.79809,0.91947,0.89363,0.92583,0.73648,0.73904,0.41652,0.81524,0.0007856,0.0007856,0.0007856
94,35722.7,0.62186,0.34255,0.80021,0.92781,0.89409,0.92285,0.73379,0.71995,0.43695,0.81369,0.0007724,0.0007724,0.0007724
95,36060.9,0.64221,0.3495,0.79913,0.92739,0.89565,0.91399,0.71596,0.72918,0.4288,0.81786,0.0007592,0.0007592,0.0007592
96,36395.7,0.61782,0.32763,0.80508,0.91608,0.87826,0.91293,0.74791,0.68787,0.39171,0.81538,0.000746,0.000746,0.000746
97,36690.7,0.62845,0.34378,0.79509,0.94378,0.87581,0.92648,0.7416,0.73076,0.39451,0.81418,0.0007328,0.0007328,0.0007328
98,36999.4,0.65549,0.34435,0.80501,0.93948,0.88696,0.92718,0.73985,0.70857,0.38944,0.8105,0.0007196,0.0007196,0.0007196
99,37279.6,0.61906,0.33074,0.78823,0.94852,0.86957,0.92865,0.75879,0.68647,0.40285,0.806,0.0007064,0.0007064,0.0007064
100,37596.5,0.62784,0.34837,0.78982,0.92606,0.88696,0.91931,0.73928,0.69885,0.39692,0.80631,0.0006932,0.0006932,0.0006932
101,37906.2,0.64778,0.3434,0.78736,0.93631,0.89483,0.93073,0.74947,0.6927,0.39962,0.80901,0.00068,0.00068,0.00068
102,38214.6,0.61241,0.31996,0.79566,0.93062,0.87826,0.92222,0.73391,0.69882,0.39248,0.81216,0.0006668,0.0006668,0.0006668
103,38519.9,0.6115,0.33041,0.79759,0.93552,0.90435,0.92934,0.75174,0.66748,0.4006,0.80807,0.0006536,0.0006536,0.0006536
104,38811.6,0.61599,0.33468,0.79896,0.92718,0.88571,0.92188,0.7455,0.69389,0.3952,0.81229,0.0006404,0.0006404,0.0006404
105,39103.2,0.60852,0.32133,0.79114,0.95198,0.88696,0.93657,0.74977,0.69528,0.3995,0.81206,0.0006272,0.0006272,0.0006272
106,39412.3,0.59982,0.33197,0.79781,0.92697,0.88297,0.91708,0.73144,0.70868,0.40887,0.81263,0.000614,0.000614,0.000614
107,39733.9,0.5848,0.32997,0.78772,0.95586,0.86087,0.92152,0.71784,0.72832,0.40223,0.8151,0.0006008,0.0006008,0.0006008
108,40046.1,0.60756,0.3169,0.78216,0.92625,0.88696,0.92547,0.74839,0.71995,0.40277,0.81447,0.0005876,0.0005876,0.0005876
109,40337.3,0.62164,0.32907,0.79284,0.92524,0.88696,0.91952,0.73181,0.69911,0.37468,0.81344,0.0005744,0.0005744,0.0005744
110,40647.8,0.5907,0.32084,0.79145,0.92567,0.87826,0.92648,0.75319,0.68329,0.37733,0.80974,0.0005612,0.0005612,0.0005612
111,40948.4,0.58821,0.30904,0.78027,0.92555,0.87826,0.9312,0.76245,0.69304,0.38399,0.81221,0.000548,0.000548,0.000548
112,41261.2,0.60329,0.32302,0.78708,0.93627,0.89425,0.93234,0.75696,0.70048,0.39549,0.8132,0.0005348,0.0005348,0.0005348
113,41580.1,0.60054,0.31844,0.80062,0.92901,0.9104,0.94116,0.77157,0.69939,0.38874,0.81261,0.0005216,0.0005216,0.0005216
114,41888.7,0.56612,0.29023,0.79195,0.92636,0.87826,0.93477,0.7714,0.71128,0.40154,0.81276,0.0005084,0.0005084,0.0005084
115,42200.4,0.58152,0.30939,0.7944,0.92852,0.87826,0.92673,0.76187,0.7011,0.40008,0.81287,0.0004952,0.0004952,0.0004952
116,42510.8,0.57061,0.30531,0.78725,0.936,0.89565,0.9318,0.74897,0.70751,0.39367,0.81298,0.000482,0.000482,0.000482
117,42816.4,0.58312,0.32037,0.78149,0.93673,0.90116,0.94014,0.75383,0.70958,0.38264,0.81506,0.0004688,0.0004688,0.0004688
118,43118.7,0.57721,0.30346,0.78967,0.97675,0.85217,0.9356,0.7512,0.70441,0.37597,0.81443,0.0004556,0.0004556,0.0004556
119,43400,0.61983,0.31998,0.79399,0.94482,0.89345,0.93366,0.73413,0.72467,0.36803,0.81375,0.0004424,0.0004424,0.0004424
120,43708.9,0.58647,0.29937,0.78232,0.93617,0.89272,0.94204,0.75236,0.69073,0.35407,0.81049,0.0004292,0.0004292,0.0004292
121,44017.5,0.57919,0.3078,0.7923,0.97061,0.86957,0.94622,0.76121,0.69874,0.37239,0.81211,0.000416,0.000416,0.000416
122,44326.2,0.55509,0.29724,0.79069,0.94143,0.88696,0.94923,0.75332,0.71617,0.37252,0.81455,0.0004028,0.0004028,0.0004028
123,44637.3,0.57649,0.3065,0.78975,0.9342,0.87826,0.9235,0.75634,0.69515,0.35831,0.81032,0.0003896,0.0003896,0.0003896
124,44942,0.54853,0.29022,0.78252,0.92458,0.87826,0.92875,0.76135,0.68807,0.36457,0.81142,0.0003764,0.0003764,0.0003764
125,45251.2,0.55325,0.29121,0.78463,0.9229,0.87826,0.92672,0.7519,0.71162,0.36969,0.81413,0.0003632,0.0003632,0.0003632
126,45560.5,0.57795,0.28762,0.7959,0.93478,0.88696,0.93385,0.75097,0.69499,0.35747,0.81499,0.00035,0.00035,0.00035
127,45849.3,0.54434,0.2937,0.78108,0.92547,0.87826,0.92949,0.75012,0.69596,0.36771,0.81479,0.0003368,0.0003368,0.0003368
128,46156.6,0.55304,0.29309,0.77572,0.98247,0.82609,0.9212,0.7421,0.71434,0.35635,0.81529,0.0003236,0.0003236,0.0003236
129,46469.6,0.55373,0.28982,0.79052,0.91961,0.89525,0.94019,0.76222,0.70145,0.35996,0.81274,0.0003104,0.0003104,0.0003104
130,46778.7,0.53152,0.28233,0.78661,0.93454,0.88696,0.94033,0.76991,0.70263,0.36714,0.81035,0.0002972,0.0002972,0.0002972
131,47088.8,0.56216,0.28073,0.77995,0.93571,0.88591,0.93671,0.76419,0.69726,0.38113,0.80909,0.000284,0.000284,0.000284
132,47395.3,0.54259,0.28634,0.79111,0.93427,0.87826,0.93778,0.7613,0.69094,0.38261,0.80812,0.0002708,0.0002708,0.0002708
133,47708.3,0.54118,0.28048,0.78905,0.93684,0.90291,0.94618,0.75551,0.7017,0.37772,0.80869,0.0002576,0.0002576,0.0002576
134,48014.3,0.56398,0.29175,0.78487,0.93574,0.88637,0.94026,0.76596,0.69094,0.38119,0.81081,0.0002444,0.0002444,0.0002444
135,48319.2,0.53018,0.27738,0.78898,0.93115,0.86957,0.93328,0.75783,0.70192,0.38663,0.81284,0.0002312,0.0002312,0.0002312
136,48607.3,0.52425,0.28407,0.7829,0.94816,0.84348,0.92457,0.75681,0.69058,0.38743,0.81266,0.000218,0.000218,0.000218
137,48914.9,0.5779,0.29103,0.78662,0.96006,0.83604,0.92405,0.76353,0.70372,0.39425,0.81263,0.0002048,0.0002048,0.0002048
138,49202.5,0.56167,0.29253,0.79547,0.92634,0.87826,0.9316,0.76267,0.68068,0.39399,0.80975,0.0001916,0.0001916,0.0001916
139,49512.1,0.55065,0.28495,0.78524,0.92719,0.88587,0.93494,0.76633,0.68482,0.3933,0.81121,0.0001784,0.0001784,0.0001784
140,49799.6,0.54969,0.28538,0.77791,0.9363,0.89465,0.94149,0.76472,0.67942,0.37845,0.81104,0.0001652,0.0001652,0.0001652
141,50110.2,0.49468,0.24475,0.78273,0.92803,0.89705,0.93749,0.76844,0.68734,0.3746,0.8126,0.000152,0.000152,0.000152
142,50420.3,0.49127,0.25054,0.77461,0.94542,0.90366,0.94424,0.76578,0.69103,0.38577,0.81228,0.0001388,0.0001388,0.0001388
143,50729.9,0.50988,0.25061,0.77912,0.93721,0.9085,0.94464,0.76446,0.702,0.39567,0.81279,0.0001256,0.0001256,0.0001256
